"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cds-WP_013035656.1",936.246236888108,10.2185724879547,1.62874439713054,6.24319721735914,4.28715781674559e-10,5.61617673993672e-07
"cds-AAC73724.1",881.727401500119,-9.25742489361529,1.70325226462175,-5.40579048967831,6.45231835363053e-08,7.04378086937999e-06
"cds-WP_004042620.1",445.827539830182,9.00561845238654,1.51728741002325,5.90238763811354,3.58278124093909e-09,1.17336085640755e-06
"cds-WP_049941502.1",373.204474199267,8.67980916618793,1.48640577499001,5.80582322229335,6.40505131726650e-09,1.39843620426985e-06
"cds-WP_004045341.1",1087.08930926212,8.46447664433378,1.75982307607278,4.78143329221,1.74049760414886e-06,7.86224779805177e-05
"cds-AAC73997.1",186.756653031517,-8.30367573718171,1.38594191649635,-5.95528256916202,2.59622859267347e-09,1.13368648546742e-06
"cds-AAC74043.1",407.621803301605,-8.22776002279883,1.56363861264462,-5.22995528293306,1.69551046656171e-07,1.23395483955324e-05
"cds-AAC73125.1",130.508958897532,-8.11844547103632,1.34245691153777,-6.01020815021468,1.85285278526064e-09,1.13368648546742e-06
"cds-AAC73280.1",173.78778704872,-7.80970804458925,1.39696402682688,-5.55469424807948,2.7809810438452e-08,3.85439694251042e-06
"cds-AAC74178.1",96.1192903492807,-7.74519181173349,1.31574207646057,-5.84855645297448,4.95857357383849e-09,1.29914627634568e-06
"cds-AAC73989.1",124.837634728305,-7.63675253159479,1.3440551243184,-5.64467364048195,1.65494878475138e-08,2.79780988076712e-06
"cds-AAC73901.1",103.80498540842,-7.50062173998524,1.32122355157509,-5.63918326395484,1.70858618672801e-08,2.79780988076712e-06
"cds-AAC74075.1",87.304990471804,-7.28867487383062,1.30548028208234,-5.54483661927422,2.94228774237437e-08,3.85439694251042e-06
"cds-AAC73207.1",97.0774060195271,-7.25011725140132,1.32167417931229,-5.44772483574416,5.10182034505033e-08,6.07580422910539e-06
"cds-WP_013035375.1",106.62680759332,7.1119592716152,1.34777384624978,5.23972125684536,1.60819324957726e-07,1.23395483955324e-05
"cds-WP_004041873.1",94.0330974536721,7.04996687030607,1.32038061018545,5.30147657145837,1.14869791468539e-07,1.07485304874133e-05
"cds-WP_004044900.1",98.4293063289895,7.03975332411323,1.32797554144401,5.26346540728659,1.41365116434331e-07,1.15742689080609e-05
"cds-WP_004057907.1",94.6004160802301,7.03438027988756,1.32436142161429,5.27377207301475,1.33647876586011e-07,1.15742689080609e-05
"cds-AAC73543.1",75.0331663025728,-7.01792518944867,1.29700515247775,-5.37231881934886,7.77305165590432e-08,7.83284436094974e-06
"cds-AAC73281.1",112.443136122298,-6.72703800130147,1.92821166585105,-3.46281381839604,0.000534558144364485,0.0050915610099951
"cds-WP_004045310.1",74.1007176668944,6.71925646906782,1.30088519805698,5.12670639886526,2.94854782830807e-07,2.03294613425451e-05
"cds-WP_004043998.1",75.7780569611546,6.69323708178042,1.31361788994133,5.05720661438095,4.25442225403338e-07,2.42317093599293e-05
