ID,ecoli_tex,ecoli_notex,hvo_tex,hvo_notex
cds-AAC73112.1,0,1,0,0
cds-AAC73113.1,2,2,0,0
cds-AAC73114.1,0,0,0,0
cds-AAC73115.1,0,5,0,0
cds-AAC73116.1,1,2,0,0
cds-AAC73117.1,0,1,0,0
cds-AAC73118.1,0,0,0,0
cds-AAC73119.1,10,67,0,0
cds-AAC73120.1,0,2,0,0
cds-AAC73121.1,0,30,0,0
cds-AAC73122.1,0,2,0,0
cds-AAC73124.1,0,1,0,0
cds-AAC73125.1,45,345,0,0
cds-AAC73126.1,5,70,0,0
cds-AAC73127.1,9,60,0,0
cds-AAC73129.1,0,0,0,0
cds-AAC73130.1,2,9,0,0
cds-AAC73131.1,0,5,0,0
cds-AAC73132.1,0,0,0,0
cds-AAC73133.1,1,0,0,0
cds-AAC73134.1,13,60,0,0
cds-AAC73135.1,0,0,0,0
cds-AAC73136.1,0,7,0,0
cds-AAC73137.1,3,42,0,0
cds-AAC73138.1,0,15,0,0
cds-AAC73139.1,1,2,0,0
cds-AAC73140.1,0,18,0,0
cds-AAC73141.1,0,7,0,0
cds-AAC73142.1,0,7,0,0
cds-AAC73143.1,0,4,0,0
cds-AAC73144.1,0,14,0,0
cds-AAC73145.2,0,3,0,0
cds-AAC73146.2,0,1,0,0
cds-AAC73147.2,0,1,0,0
cds-AAC73148.2,0,5,0,0
cds-AAC73149.1,0,1,0,0
cds-AAC73150.1,0,12,0,0
cds-AAC73151.1,0,0,0,0
cds-AAC73152.2,0,0,0,0
cds-AAC73153.1,0,2,0,0
cds-AAC73154.1,0,0,0,0
cds-AAC73155.1,0,0,0,0
cds-AAC73156.1,0,1,0,0
cds-AAC73157.1,0,1,0,0
cds-AAC73158.1,0,2,0,0
cds-AAC73159.1,1,3,0,0
cds-AAC73160.1,1,10,0,0
cds-AAC73161.1,2,6,0,0
cds-AAC73162.1,0,8,0,0
cds-AAC73163.1,2,9,0,0
cds-AAC73164.1,1,11,0,0
cds-AAC73165.1,2,37,0,0
cds-AAC73166.1,2,3,0,0
cds-AAC73169.1,1,4,0,0
cds-AAC73170.1,2,14,0,0
cds-AAC73171.1,0,6,0,0
cds-AAC73172.1,0,1,0,0
cds-AAC73173.1,0,5,0,0
cds-AAC73174.1,0,1,0,0
cds-AAC73175.1,0,5,0,0
cds-AAC73176.1,0,6,0,0
cds-AAC73177.1,0,2,0,0
cds-AAC73178.1,0,0,0,0
cds-AAC73179.1,0,9,0,0
cds-AAC73180.1,1,0,0,0
cds-AAC73182.1,0,0,0,0
cds-AAC73183.1,0,2,0,0
cds-AAC73184.2,0,0,0,0
cds-AAC73185.1,0,2,0,0
cds-AAC73186.1,0,0,0,0
cds-AAC73187.2,0,2,0,0
cds-AAC73188.2,1,1,0,0
cds-AAC73189.1,0,0,0,0
cds-AAC73191.1,0,17,0,0
cds-AAC73192.1,4,38,0,0
cds-AAC73193.1,0,5,0,0
cds-AAC73194.1,0,2,0,0
cds-AAC73195.1,8,12,0,0
cds-AAC73196.1,0,10,0,0
cds-AAC73197.1,0,10,0,0
cds-AAC73198.1,0,6,0,0
cds-AAC73199.1,0,6,0,0
cds-AAC73200.1,0,7,0,0
cds-AAC73201.1,1,10,0,0
cds-AAC73202.1,3,5,0,0
cds-AAC73203.1,2,11,0,0
cds-AAC73204.1,0,1,0,0
cds-AAC73205.1,1,13,0,0
cds-AAC73206.1,2,10,0,0
cds-AAC73207.1,10,281,0,0
cds-AAC73208.2,0,17,0,0
cds-AAC73209.1,5,48,0,0
cds-AAC73210.1,2,2,0,0
cds-AAC73212.1,0,1,0,0
cds-AAC73213.1,0,2,0,0
cds-AAC73214.1,0,2,0,0
cds-AAC73215.1,1,29,0,0
cds-AAC73217.1,0,1,0,0
cds-AAC73218.1,1,5,0,0
cds-AAC73219.1,0,0,0,0
cds-AAC73220.1,1,8,0,0
cds-AAC73221.1,0,2,0,0
cds-AAC73222.1,0,2,0,0
cds-AAC73223.1,0,4,0,0
cds-AAC73224.1,8,43,0,0
cds-AAC73225.1,9,63,0,0
cds-AAC73226.1,6,70,0,0
cds-AAC73227.1,2,94,0,0
cds-AAC73228.1,0,2,0,0
